CD_MUN,NM_MUN,AR_MUN_2022,ANALFABETISMO,AGRO,ENSINO,SAUDE,RELIGIOSO
2700102,ÁGUA BRANCA,468.229,77.11,293,51,27,95
2700201,ANADIA,186.134,71.28,58,28,17,51
2700300,ARAPIRACA,345.655,84.74,1001,246,287,523
2700409,ATALAIA,533.258,75.52,60,55,46,170
2700508,BARRA DE SANTO ANTÔNIO,131.364,78.71,33,23,13,60
2700607,BARRA DE SÃO MIGUEL,74.247,85.45,10,15,6,25
2700706,BATALHA,315.87,76.7,529,28,30,41
2700805,BELÉM,66.628,76.03,200,16,6,25
2700904,BELO MONTE,334.136,72.95,255,22,9,18
2701001,BOCA DA MATA,193.002,77.08,83,14,22,52
2701100,BRANQUINHA,168.048,67.1,288,27,12,28
2701209,CACIMBINHAS,281.692,70.03,633,31,17,30
2701308,CAJUEIRO,94.357,72.56,35,26,18,36
2701357,CAMPESTRE,65.91,76.71,63,11,8,13
2701407,CAMPO ALEGRE,312.726,78.44,104,32,34,89
2701506,CAMPO GRANDE,170.144,67.42,826,30,10,34
2701605,CANAPI,602.778,70.1,1292,49,26,76
2701704,CAPELA,263.735,76.2,108,38,17,54
2701803,CARNEIROS,111.696,77.73,317,20,11,26
2701902,CHÃ PRETA,157.831,72.94,198,20,8,30
2702009,COITÉ DO NÓIA,88.759,71.66,769,28,18,34
2702108,COLÔNIA LEOPOLDINA,207.935,74.12,171,35,27,36
2702207,COQUEIRO SECO,39.608,81.46,16,11,5,16
2702306,CORURIPE,897.8,81.77,283,44,47,134
2702355,CRAÍBAS,278.879,71.09,1167,47,24,71
2702405,DELMIRO GOUVEIA,628.545,82.52,145,66,75,139
2702504,DOIS RIACHOS,141.621,72.73,1137,30,12,36
2702553,ESTRELA DE ALAGOAS,260.772,65.8,2076,37,13,61
2702603,FEIRA GRANDE,175.906,69.56,1001,38,17,62
2702702,FELIZ DESERTO,110.062,75.63,109,7,4,16
2702801,FLEXEIRAS,333.756,74.77,94,20,9,38
