,Unnamed: 0,CO_ANO,CO_MES,Nome_UF,Nome_Município,SH4,CO_PAIS,KG_LIQUIDO,VL_FOB,NO_PAIS
16949,631015,2020,7,Alagoas,Maceió,2102,160,3,26,China
5193,316830,2010,11,Alagoas,Coruripe,1701,245,3111000,1738582,Espanha
18196,644292,2020,12,Alagoas,Coruripe,1701,249,16484010,10295165,Estados Unidos
31861,789448,2022,5,Alagoas,Maceió,904,741,4,44,Singapura
8420,524121,2018,10,Alagoas,Maceió,709,275,174,340,França
722,45776,2000,12,Alagoas,Maceió,1701,676,38900000,8637035,Rússia
19643,659201,2020,2,Alagoas,Maceió,707,476,10,7,"Marshall, Ilhas"
2932,178918,2006,10,Alagoas,Lagoa da Canoa,2401,820,259946,418110,Tunísia
18895,651478,2020,1,Alagoas,São Luís do Quitunde,1701,628,7304636,2311246,Reino Unido
18451,646863,2020,6,Alagoas,Maceió,3923,741,90,148,Singapura
32663,797362,2022,6,Alagoas,Maceió,8203,538,10,1405,Noruega
30752,778720,2022,4,Alagoas,Maceió,3808,445,2,12,Luxemburgo
42860,891108,2023,11,Alagoas,Maceió,3809,476,20,8,"Marshall, Ilhas"
11663,574117,2019,5,Alagoas,Maceió,3919,434,2,29,Libéria
26806,735649,2021,4,Alagoas,Maceió,8506,580,20,387,Panamá
32770,798516,2022,1,Alagoas,Atalaia,1701,245,2283470,1032383,Espanha
26397,730992,2021,6,Alagoas,Maceió,3402,232,12,12,Dinamarca
31562,786679,2022,11,Alagoas,Maceió,808,434,18,55,Libéria
10401,560422,2019,2,Alagoas,Maceió,1701,476,10,10,"Marshall, Ilhas"
14874,609517,2019,3,Alagoas,Maceió,1702,476,14,242,"Marshall, Ilhas"
36220,834119,2022,3,Alagoas,Maceió,706,137,20,54,"Cayman, Ilhas"
21305,676147,2020,10,Alagoas,Maceió,401,77,204,189,Bahamas
24069,705474,2021,3,Alagoas,Maceió,806,351,5,25,Hong Kong
10745,563967,2019,5,Alagoas,Maceió,8301,77,1,16,Bahamas
17414,635912,2020,2,Alagoas,Maceió,1513,127,2005,20178,Cabo Verde
43853,899813,2023,6,Alagoas,Maceió,807,573,60,62,Países Baixos (Holanda)
121,6624,1997,7,Alagoas,Arapiraca,2401,249,162417,524416,Estados Unidos
