,CO_ANO,CO_MES,Nome_UF,Nome_Município,SH4,CO_PAIS,KG_LIQUIDO,VL_FOB,NO_PAIS
94,1997,1,Alagoas,Atalaia,8455,158,660,3077,Chile
106,1997,11,Alagoas,Maceió,1701,676,29750000,7469280,Rússia
158,1997,3,Alagoas,Marechal Deodoro,3923,845,5663,15856,Uruguai
207,1997,12,Alagoas,Marechal Deodoro,3904,845,703000,467310,Uruguai
223,1997,8,Alagoas,Maceió,1701,249,10489460,4495425,Estados Unidos
321,1997,12,Alagoas,Maceió,1701,676,127037000,32277849,Rússia
412,1997,1,Alagoas,Maceió,2903,399,11058188,2805683,Japão
489,1997,11,Alagoas,Maceió,306,249,8154,248108,Estados Unidos
500,1997,4,Alagoas,Maceió,301,63,365,2865,Argentina
706,1997,7,Alagoas,Marechal Deodoro,3923,845,2637,10500,Uruguai
805,1997,9,Alagoas,Maceió,2815,169,3574214,323895,Colômbia
827,1997,12,Alagoas,São Luís do Quitunde,1701,676,26039000,6652404,Rússia
836,1997,1,Alagoas,Atalaia,8454,845,13499,63680,Uruguai
864,1997,7,Alagoas,Maceió,2903,399,9546056,3159745,Japão
878,1997,12,Alagoas,Maceió,6802,249,18985,14761,Estados Unidos
904,1997,1,Alagoas,Maceió,2815,63,1296068,167720,Argentina
924,1997,11,Alagoas,Arapiraca,2401,450,9546,15274,Madagascar
1018,1997,12,Alagoas,Maceió,2815,391,5136362,873182,Jamaica
1056,1997,8,Alagoas,União dos Palmares,1701,249,8215730,3504009,Estados Unidos
1058,1997,1,Alagoas,União dos Palmares,1701,665,3000000,783000,Zimbábue
1064,1997,9,Alagoas,Maceió,801,63,600,4734,Argentina
1181,1997,6,Alagoas,União dos Palmares,1701,676,20000000,4920000,Rússia
1256,1997,2,Alagoas,Maceió,1701,845,11000000,2877875,Uruguai
1298,1997,2,Alagoas,Coruripe,1701,249,5422210,2211448,Estados Unidos
1377,1997,2,Alagoas,São Luís do Quitunde,1701,528,1000000,306740,Nigéria
1442,1997,10,Alagoas,São Luís do Quitunde,1701,149,18000000,4380760,Canadá
1467,1997,5,Alagoas,Maceió,2009,69,17280,66548,Austrália
1481,1997,10,Alagoas,Maceió,306,573,12000,47678,Países Baixos (Holanda)
1494,1997,10,Alagoas,Maceió,2903,399,18136018,5563677,Japão
1600,1997,10,Alagoas,Marechal Deodoro,3923,97,8086,12335,Bolívia
1712,1997,7,Alagoas,Matriz de Camaragibe,1701,249,712110,307546,Estados Unidos
1781,1997,9,Alagoas,São Miguel dos Campos,4819,63,4500,4500,Argentina
1903,1997,12,Alagoas,Maceió,1701,386,650000,160498,Itália
